
metadata
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon	
1			2017-11-11T16:04:42Z		50.082763032987714	19.850719040259719	50.083149019628763	19.854347985237837	

author
ID	name	email	

copyright
year	license	author	

link
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href	
1							"Garmin International"		http://www.garmin.com	

rte
ID	name	cmt	desc	src	number	type	IsAutoNamed	DisplayColor	TransportationMode	TripName	Date	DayNumber	

rtept
ID	rteID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	DepartureTime	StopDuration	ArrivalTime	CalculationMode	ElevationMode	NamedRoad_Name	NamedRoad_Id	NamedRoad_ProductId	TransportationMode	

wpt
ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime	
40	50.082849031314254	19.850733038038015	191.06613200000001	2017-10-11T10:52:50Z			"13944140!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:52:50Z	
41	50.082855988293886	19.850736977532506	191.12554900000001	2017-10-11T10:53:03Z			"13944141!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:53:03Z	
42	50.082857999950647	19.850732032209635	190.87058999999999	2017-10-11T10:53:17Z			"13944142!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:53:17Z	
43	50.082852970808744	19.850727003067732	190.51916499999999	2017-10-11T10:53:31Z			"13944143!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:53:31Z	
44	50.082850037142634	19.850732032209635	190.746399	2017-10-11T10:53:48Z			"13944144!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:53:48Z	
45	50.082846013829112	19.850737983360887	191.539108	2017-10-11T10:54:02Z			"13944145!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:54:02Z	
46	50.082850037142634	19.850719962269068	191.126892	2017-10-11T10:54:41Z			"13944151!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:54:41Z	
47	50.082836039364338	19.850733038038015	191.23493999999999	2017-10-11T10:56:12Z			"13944152!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:56:12Z	
48	50.082839978858829	19.850732032209635	191.30128500000001	2017-10-11T10:56:27Z			"13944153!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:56:27Z	
49	50.082845008000731	19.850731026381254	191.00006099999999	2017-10-11T10:56:41Z			"13944154!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:56:41Z	
